Day;Index Trading Symbol;Index Name;Index ISIN;Trading Symbol;Instrument;ISIN;Country;Transparency Level;Instrument Exchange;Index Value (close);Index Settlement Value (Future);Index Settlement Value (Kassa);Index Settlement Value (Option);Constant A (last regular rebalancing) (Index);Kt (last regular rebalancing) (Index);Market Cap. (in Mio.) (last regular rebalancing) (Index);# Constituents;Performance (1d) (Index);Performance (1m) (Index);Performance (12m) (Index);Performance (ytd) (Index);Volatility (1m) (Index);Volatility (12m) (Index);Sharpe Ratio (1m) (Index);Sharpe Ratio (12m) (Index);pit;pi0 (last regular rebalancing);qi0 (last regular rebalancing);qit (last regular rebalancing);ffit (last regular rebalancing);ci (last regular rebalancing);Market Cap. (in Mio.) (last regular rebalancing);Weight (last regular rebalancing);Fi (last regular rebalancing);Fi (norm 1m EUR) (last regular rebalancing);Fi (norm Index) (last regular rebalancing);Quintil;Performance (1d);Performance (1m);Performance (12m);Performance (ytd);Volatility (1m);Volatility (12m);Sharpe Ratio (1m);Sharpe Ratio (12m);Beta (1m);Beta (12m);Correlation (1m);Correlation (12m)
2/02/2023;4JC1;CDAX NR EUR;DE000A3CK6C9;1U1;1+1 AG  INH O.N.;DE0005545503;n/a;Prime Standard;XETRA;147.12;;;;3177.3011831;0.5754136;1192257.34;383;0.0241559345631743;0.122539294979399;-0.0467798367241156;0.137731033949424;0.140238554840772;0.230671743154023;2.8432087533671;-0.18132213164833;13.16;221.39;1800000;176764649;0.2142;1;428.23;0.0359;0.13020157645654;31.7573954584186;0.00467214801984255;2;0.0289288506645817;0.125748502994012;-0.447925895600632;0.13448275862069;0.245761797573111;0.259510904378521;1.66546605788304;-1.68279502285072;0.717168487319852;0.647960751413422;0.409236395697988;0.575953586158037
2/02/2023;4JC1;CDAX NR EUR;DE000A3CK6C9;TGT;11 88 0 SOLUTIONS AG;DE0005118806;n/a;Prime Standard;XETRA;147.12;;;;3177.3011831;0.5754136;1192257.34;383;0.0241559345631743;0.122539294979399;-0.0467798367241156;0.137731033949424;0.140238554840772;0.230671743154023;2.8432087533671;-0.18132213164833;1.07;47;12730000;24915200;0.2263;1;6.2;0.0005;0.0193887715061924;4.72910467701288;0.000695745880082135;5;-0.018348623853211;-0.018348623853211;-0.363095238095238;-0.018348623853211;0.192403029493734;0.348323971861224;-0.341814921356397;-1.013994412852;-0.455823636732861;0.200917808401811;-0.332240340736232;0.133054468939039
2/02/2023;4JC1;CDAX NR EUR;DE000A3CK6C9;2INV;2INVEST AG  NA O.N.;DE000A3H3L44;n/a;General Standard;XETRA;147.12;;;;3177.3011831;0.5754136;1192257.34;383;0.0241559345631743;0.122539294979399;-0.0467798367241156;0.137731033949424;0.140238554840772;0.230671743154023;2.8432087533671;-0.18132213164833;8.88;65;17647875;5748154;0.5173;1;26.11;0.0022;0.0102252099561576;2.49402538018767;0.00036692101393321;4;0.00225733634311509;0.00452488687782804;-0.311627906976744;0.00225733634311509;0.0907234717763752;0.148982096234936;0.106317638492967;-2.0306833128359;-0.0555457324657026;0.0688681324974051;-0.0858614986402089;0.106629807019814
2/02/2023;4JC1;CDAX NR EUR;DE000A3CK6C9;UUU;3U HOLDING AG;DE0005167902;n/a;Prime Standard;XETRA;147.12;;;;3177.3011831;0.5754136;1192257.34;383;0.0241559345631743;0.122539294979399;-0.0467798367241156;0.137731033949424;0.140238554840772;0.230671743154023;2.8432087533671;-0.18132213164833;4;30.5;9120000;35314016;0.7451;1;107.62;0.009;0.0904821754587826;22.0694580371823;0.00324685866643025;3;-0.00497512437810932;-0.0476190476190476;0.250545634801862;-0.0338164251207729;0.103557190144568;0.494839532228195;-1.56694050470726;0.506939253427147;0.0619279040569138;0.328779846227905;0.0838636096357533;0.153262250293149
2/02/2023;4JC1;CDAX NR EUR;DE000A3CK6C9;VSC;4SC AG INH. O.N.;DE000A3E5C40;n/a;Prime Standard;XETRA;147.12;;;;3177.3011831;0.5754136;1192257.34;383;0.0241559345631743;0.122539294979399;-0.0467798367241156;0.137731033949424;0.140238554840772;0.230671743154023;2.8432087533671;-0.18132213164833;2.6;4.41;10530077;10114009;0.297;1;3.97;0.0003;0.0103295439066538;2.51947341711488;0.000370664929125941;5;0.120689655172414;0.911764705882353;0.00580266064505319;0.911764705882353;0.770177206340192;0.71264852772874;3.89615089523082;0.0139408877361182;2.20993566814567;0.593190921429562;0.402398541323399;0.192005425599337
2/02/2023;4JC1;CDAX NR EUR;DE000A3CK6C9;HRPK;7C SOLARPARKEN AG  O.N.;DE000A11QW68;n/a;General Standard;XETRA;147.12;;;;3177.3011831;0.5754136;1192257.34;383;0.0241559345631743;0.122539294979399;-0.0467798367241156;0.137731033949424;0.140238554840772;0.230671743154023;2.8432087533671;-0.18132213164833;4.41;17.76;4650000;78097983;0.9371;1;325.31;0.0273;0.251667489298232;61.3840799718661;0.00903082584546095;3;0.00800000097569331;0.0400943396226416;0.0729475666787038;0.0327868852459017;0.190421042969964;0.268293162755605;0.66649418699848;0.283386481674737;0.848000545878002;0.355190091155666;0.624523262782857;0.305383546253648
2/02/2023;4JC1;CDAX NR EUR;DE000A3CK6C9;LUM;A.I.S. AG;DE0006492903;n/a;General Standard;FRANKFURT;147.12;;;;3177.3011831;0.5754136;1192257.34;383;0.0241559345631743;0.122539294979399;-0.0467798367241156;0.137731033949424;0.140238554840772;0.230671743154023;2.8432087533671;-0.18132213164833;0.005;13.75;8000000;8000000;0.6743;1;0.03;0;0.0185500253560039;4.52452656125056;0.000665648347691183;5;0;0;0;0;0;0;;;0;0;;
2/02/2023;4JC1;CDAX NR EUR;DE000A3CK6C9;ACWN;A.S.CREATION TAPETEN NA;DE000A1TNNN5;n/a;General Standard;XETRA;147.12;;;;3177.3011831;0.5754136;1192257.34;383;0.0241559345631743;0.122539294979399;-0.0467798367241156;0.137731033949424;0.140238554840772;0.230671743154023;2.8432087533671;-0.18132213164833;11.6;32.88;3000000;2760000;0.3439;1;9.11;0.0008;0.00326394339815478;0.796106653007346;0.000117123210790441;5;0.00869565217391299;0.183673469387755;-0.350139847947796;0.177664974619289;0.42428473336718;0.304319496624916;1.41480671771793;-1.11871114201719;0.292425235958811;0.298564645790218;0.0966551215839893;0.226309612273965
2/02/2023;4JC1;CDAX NR EUR;DE000A3CK6C9;AAQ1;AAP IMPLANTATE AG O.N.;DE000A3H2101;n/a;General Standard;XETRA;147.12;;;;3177.3011831;0.5754136;1192257.34;383;0.0241559345631743;0.122539294979399;-0.0467798367241156;0.137731033949424;0.140238554840772;0.230671743154023;2.8432087533671;-0.18132213164833;1.43;11.2;3800000;5960737;0.5996;1;4.68;0.0004;0.012290313058966;2.99772355100195;0.000441025088823408;5;0.0214285714285716;0.036231884057971;-0.576923076923077;0.0592592592592593;0.499398396566681;0.61079882769482;0.22863585488687;-0.922865449414874;0.774202856433022;0.381100179157772;0.217407765996436;0.143924707541444
2/02/2023;4JC1;CDAX NR EUR;DE000A3CK6C9;ARL;AAREAL BANK AG;DE0005408116;n/a;Prime Standard;XETRA;147.12;;;;3177.3011831;0.5754136;1192257.34;383;0.0241559345631743;0.122539294979399;-0.0467798367241156;0.137731033949424;0.140238554840772;0.230671743154023;2.8432087533671;-0.18132213164833;33;18.6;35334843;59857221;0.13;1;256.79;0.0215;0.0267584691064235;6.52664359680944;0.000960199805962605;3;0;-0.00121065375302665;0.135581555402615;-0.001814882032668;0.0409570230119132;0.227709649789066;-0.226188612485983;0.604655656965542;0.0389692938060428;0.324888764458124;0.133432487144763;0.329114983480647
