Day;Index Trading Symbol;Index Name;Index ISIN;Trading Symbol;Instrument;ISIN;Country;Transparency Level;Instrument Exchange;Index Value (close);Index Settlement Value (Future);Index Settlement Value (Kassa);Index Settlement Value (Option);Constant A (last regular rebalancing) (Index);Kt (last regular rebalancing) (Index);Market Cap. (in Mio.) (last regular rebalancing) (Index);# Constituents;Performance (1d) (Index);Performance (1m) (Index);Performance (12m) (Index);Performance (ytd) (Index);Volatility (1m) (Index);Volatility (12m) (Index);Sharpe Ratio (1m) (Index);Sharpe Ratio (12m) (Index);pit;pi0 (last regular rebalancing);qi0 (last regular rebalancing);qit (last regular rebalancing);ffit (last regular rebalancing);ci (last regular rebalancing);Market Cap. (in Mio.) (last regular rebalancing);Weight (last regular rebalancing);Fi (last regular rebalancing);Fi (norm 1m EUR) (last regular rebalancing);Fi (norm Index) (last regular rebalancing);Quintil;Performance (1d);Performance (1m);Performance (12m);Performance (ytd);Volatility (1m);Volatility (12m);Sharpe Ratio (1m);Sharpe Ratio (12m);Beta (1m);Beta (12m);Correlation (1m);Correlation (12m)
2/02/2023;2DYN;DAX EXFINANCIALS PR EUR;DE000A0Z3MD8;ADS;ADIDAS AG NA O.N.;DE000A1EWWW0;n/a;Prime Standard;XETRA;2754.56;;;;3908.4713549;0.7083393;782874.57;32;0.0280817520863501;0.126125794648515;-0.0597359330411393;0.141389112184773;0.147862412436899;0.239295824710773;2.77658005956258;-0.228083950495319;157.92;37.94;45349200;192100000;0.8755;1;20367.03;2.6016;2.0285656232701;214.828218240421;0.591757216836335;2;0.0700636942675159;0.23664839467502;-0.346490905803256;0.23897693394006;0.350970869223867;0.452634987259006;2.20797255702971;-0.744206031733043;2.15508057555976;1.40165356467749;0.907925531263717;0.741016172323346
2/02/2023;2DYN;DAX EXFINANCIALS PR EUR;DE000A0Z3MD8;BAS;BASF SE NA O.N.;DE000BASF111;n/a;Prime Standard;XETRA;2754.56;;;;3908.4713549;0.7083393;782874.57;32;0.0280817520863501;0.126125794648515;-0.0597359330411393;0.141389112184773;0.147862412436899;0.239295824710773;2.77658005956258;-0.228083950495319;53.84;130.64;55483587;918478694;0.976;1;41047.77;5.2432;10.8124584184952;1145.05596969524;3.15412537188372;1;0.0208570345089119;0.122017297049425;-0.150346066753342;0.160594955809442;0.216918032542311;0.353960275778057;1.83021441702642;-0.406186259150837;1.06367019427253;1.17726558464621;0.725051942980734;0.795893658864049
2/02/2023;2DYN;DAX EXFINANCIALS PR EUR;DE000A0Z3MD8;BMW;BAY.MOTOREN WERKE AG ST;DE0005190003;n/a;Prime Standard;XETRA;2754.56;;;;3908.4713549;0.7083393;782874.57;32;0.0280817520863501;0.126125794648515;-0.0597359330411393;0.141389112184773;0.147862412436899;0.239295824710773;2.77658005956258;-0.228083950495319;97.79;228.55;15000000;601995196;0.5226;1;25992.47;3.3201;3.7946172545722;401.855801139919;1.10693591558798;2;0.0264511388684792;0.13974358974359;0.123057825096614;0.172823218997362;0.189943728657244;0.312730718815171;2.39780681380095;0.400849310181807;0.894009503221233;1.05273713846584;0.695945071849908;0.805535198803826
2/02/2023;2DYN;DAX EXFINANCIALS PR EUR;DE000A0Z3MD8;BAYN;BAYER AG NA O.N.;DE000BAY0017;n/a;Prime Standard;XETRA;2754.56;;;;3908.4713549;0.7083393;782874.57;32;0.0280817520863501;0.126125794648515;-0.0597359330411393;0.141389112184773;0.147862412436899;0.239295824710773;2.77658005956258;-0.228083950495319;56.8;134.88;62426957;982424082;1;1;47706.51;6.0938;11.8496233443633;1254.8933298919;3.45667897078704;1;0.00530973451327443;0.147590665670088;0.0918550357762666;0.175375064609967;0.22193915032375;0.299263258116906;2.16869988601343;0.3162522448073;0.455029808413013;0.681147922603916;0.303154288481783;0.54465708525388
2/02/2023;2DYN;DAX EXFINANCIALS PR EUR;DE000A0Z3MD8;BEI;BEIERSDORF AG O.N.;DE0005200000;n/a;Prime Standard;XETRA;2754.56;;;;3908.4713549;0.7083393;782874.57;32;0.0280817520863501;0.126125794648515;-0.0597359330411393;0.141389112184773;0.147862412436899;0.239295824710773;2.77658005956258;-0.228083950495319;111.75;219.86;3469812;252000000;0.3883;1;10435.87;1.333;1.18024855547392;124.990136550063;0.344292830535343;4;-0.00134048257372643;0.0429304713019132;0.255401616917003;0.0424440298507462;0.119919649934494;0.235525990369023;1.13630224523302;1.08537357325193;-0.0102324621439755;0.474013199743721;-0.0126167524555311;0.481600265765763
2/02/2023;2DYN;DAX EXFINANCIALS PR EUR;DE000A0Z3MD8;BNR;BRENNTAG SE NA O.N.;DE000A1DAHH0;n/a;Prime Standard;XETRA;2754.56;;;;3908.4713549;0.7083393;782874.57;32;0.0280817520863501;0.126125794648515;-0.0597359330411393;0.141389112184773;0.147862412436899;0.239295824710773;2.77658005956258;-0.228083950495319;71.22;51.1;51500000;154500000;1;1;8701.44;1.1115;1.86351987929396;197.349620210449;0.543611369846895;4;0.0363795110593714;0.17331136738056;-0.0554466690773237;0.192565304755526;0.253493501618138;0.326673305509136;2.23326455607311;-0.154151857824693;1.09315472412477;1.00419489992205;0.637635653948123;0.735596213999428
2/02/2023;2DYN;DAX EXFINANCIALS PR EUR;DE000A0Z3MD8;CON;CONTINENTAL AG O.N.;DE0005439004;n/a;Prime Standard;XETRA;2754.56;;;;3908.4713549;0.7083393;782874.57;32;0.0280817520863501;0.126125794648515;-0.0597359330411393;0.141389112184773;0.147862412436899;0.239295824710773;2.77658005956258;-0.228083950495319;68.9;104.92;8048629;200005983;0.54;1;6100.02;0.7792;1.30269364181906;137.957259442256;0.380011548569259;5;0.0672242874845106;0.165820642978003;-0.179897575262988;0.230796713111826;0.376558812922032;0.464628000761225;1.43781488247249;-0.372047181410345;2.21234076857163;1.51785990376427;0.868714346731375;0.781738373218157
2/02/2023;2DYN;DAX EXFINANCIALS PR EUR;DE000A0Z3MD8;1COV;COVESTRO AG  O.N.;DE0006062144;n/a;Prime Standard;XETRA;2754.56;;;;3908.4713549;0.7083393;782874.57;32;0.0280817520863501;0.126125794648515;-0.0597359330411393;0.141389112184773;0.147862412436899;0.239295824710773;2.77658005956258;-0.228083950495319;43.7;26;202500000;193200000;0.982;1;6765.5;0.8642;2.28835898995056;242.340735180679;0.667542095499292;5;0.0267857142857142;0.142185049660219;-0.13567095217095;0.19562243502052;0.303143092321378;0.389887097736261;1.52897306101153;-0.331706279195601;1.22988712502786;1.19552591330907;0.599895171415975;0.733762058425221
2/02/2023;2DYN;DAX EXFINANCIALS PR EUR;DE000A0Z3MD8;DTG;DAIMLER TRUCK HLDG NA ON;DE000DTR0CK8;n/a;Prime Standard;XETRA;2754.56;;;;3908.4713549;0.7083393;782874.57;32;0.0280817520863501;0.126125794648515;-0.0597359330411393;0.141389112184773;0.147862412436899;0.239295824710773;2.77658005956258;-0.228083950495319;32.02;29.775;822951882;822951882;0.5721;1;14103.14;1.8015;5.6787393685058;601.387229672778;1.65655720736745;3;0.0234936870704812;0.0898570456092582;0.00660169757937767;0.106235964760753;0.242490541891145;0.359669263964069;1.19995319861524;0.0298093426619768;0.72502313345905;1.09658413164403;0.442094230767727;0.729581397238098
2/02/2023;2DYN;DAX EXFINANCIALS PR EUR;DE000A0Z3MD8;DPW;DEUTSCHE POST AG NA O.N.;DE0005552004;n/a;Prime Standard;XETRA;2754.56;;;;3908.4713549;0.7083393;782874.57;32;0.0280817520863501;0.126125794648515;-0.0597359330411393;0.141389112184773;0.147862412436899;0.239295824710773;2.77658005956258;-0.228083950495319;42.76;21.4;556399974;1239059409;0.7813;1;34860.46;4.4529;11.6765757334927;1236.56732185566;3.40619888209073;2;0.0598587185524848;0.187612831551174;-0.179836291275205;0.215463331438317;0.280516521062711;0.346146865820669;2.18621199603751;-0.499219345266301;1.35117567192878;1.19315483765031;0.71221507282551;0.824843438077232
