countryname,countrycode,continente,gdppc,pstability,corrup,alphrate,spend,lrights
Aruba,ABW,America,29342.102,1.4743354,,,,
Afghanistan,AFG,Asia,363.67407,-2.5298553,16,37.266041,,10
Angola,AGO,Africa,1903.7174,-.71083623,29,72.279999,,1
Albania,ALB,Europe,6377.2031,.10944585,35,98.449997,24.536333,8
Andorra,AND,Europe,42072.34,1.6318088,,,,
United Arab Emirates,ARE,Asia,44315.555,.6492995,69,98.126358,4.3384147,6
Argentina,ARG,America,10636.115,-.10636664,38,,22.865631,2
Armenia,ARM,Asia,4966.5137,-.83559227,49,,25.00005,6
American Samoa,ASM,Oceania,15743.311,1.0492982,,,,
Antigua and Barbuda,ATG,America,16740.348,.9555521,,,,5
Australia,AUS,Oceania,60444.504,.85098869,73,,32.718891,11
Austria,AUT,Europe,53637.707,.91489112,74,,49.971516,4
Azerbaijan,AZE,Asia,5408.0454,-.85347837,30,,27.144413,12
Burundi,BDI,Africa,221.15781,-1.3639798,19,74.709999,,2
Belgium,BEL,Europe,51268.387,.61255473,73,,41.698788,8
Benin,BEN,Africa,1361.1007,-.30134049,42,45.84,,6
Burkina Faso,BFA,Africa,893.07721,-1.638742,42,46.040001,18.143452,6
Bangladesh,BGD,Asia,2457.9241,-.97016239,26,,8.3242512,5
Bulgaria,BGR,Europe,12222.235,.45826912,42,98.419998,36.36982,8
Bahrain,BHR,Asia,26860.072,-.50511056,42,,,3
"Bahamas, The",BHS,America,28260.432,.87671947,64,,25.753248,6
Bosnia and Herzegovina,BIH,Europe,7230.1982,-.38058239,35,98.099998,34.893017,7
Belarus,BLR,Europe,7489.7188,-.73660541,41,,,3
Belize,BLZ,America,6228.2671,.46071696,,,,4
Bermuda,BMU,America,111774.67,1.0061514,,,,
Bolivia,BOL,America,3345.1965,-.31856731,30,,,0
Brazil,BRA,America,7696.7856,-.48500699,38,94.300003,32.199093,2
Barbados,BRB,America,17225.463,1.1222219,65,,,6
Brunei Darussalam,BRN,Asia,31448.914,1.168644,,97.589996,,12
Bhutan,BTN,Asia,3266.3628,.97313309,68,70.949997,,4
Botswana,BWA,Africa,7238.7959,.97837782,55,,28.409317,5
Central African Republic,CAF,Africa,461.13751,-2.1045353,24,,11.66139,6
Canada,CAN,America,52358.621,.93690264,74,,22.733419,9
Switzerland,CHE,Europe,91991.602,1.1314452,84,,19.316889,6
Chile,CHL,America,16247.401,.062636606,67,97.040001,30.695038,4
China,CHN,Asia,12617.505,-.48186013,45,,,3
Cote d'Ivoire,CIV,Africa,2613.3789,-.9528603,36,,16.601669,6
Cameroon,CMR,Africa,1666.9329,-1.4065106,27,,,6
"Congo, Dem. Rep.",COD,Africa,577.20923,-1.6146669,19,80.019997,,6
"Congo, Rep.",COG,Africa,2290.3831,-.60661632,21,80.610001,,6
Colombia,COL,America,6182.707,-.91407663,39,,34.956699,11
Comoros,COM,Africa,1577.4708,-.22746059,20,61.990002,,6
Cabo Verde,CPV,Africa,3557.8379,.90245849,58,90.779999,,1
Costa Rica,CRI,America,12537.257,.87277275,58,98.040001,30.222383,10
Cuba,CUB,America,,.42731887,46,99.673111,,
Curacao,CUW,America,17717.596,,,,,
Cayman Islands,CYM,America,88475.602,1.6677005,,98.867821,,
Cyprus,CYP,Asia,31552.035,.4431138,53,99.360001,41.223721,7
Czechia,CZE,Europe,26822.514,.95760065,54,,38.050411,7
Germany,DEU,Europe,51203.555,.75599605,80,,33.465786,6
Djibouti,DJI,Africa,3050.3064,-.70726156,30,,,8
Dominica,DMA,America,7668.1582,1.39232,55,,,6
Denmark,DNK,Europe,68007.758,.949907,88,,37.809895,8
Dominican Republic,DOM,America,8476.75,.13741051,30,95.169998,17.806126,1
Algeria,DZA,Africa,3700.3113,-.87646502,33,,,2
Ecuador,ECU,America,5965.1328,-.26625377,36,94.483589,32.230865,1
"Egypt, Arab Rep.",EGY,Africa,3886.7224,-1.0242051,33,73.089996,,5
Eritrea,ERI,Africa,,-1.0057859,22,,,0
Spain,ESP,Europe,30103.514,.5790509,61,,39.523235,5
Estonia,EST,Europe,27943.701,.75560373,74,99.870003,37.72057,7
Ethiopia,ETH,Africa,925.00067,-2.0683601,39,,,3
Finland,FIN,Europe,53489.754,.98190778,88,,39.852112,6
Fiji,FJI,Oceania,4646.5381,.66794169,55,,34.629971,5
France,FRA,Europe,43658.98,.3717337,71,,49.901794,4
Faroe Islands,FRO,Europe,69010.164,,,,,
"Micronesia, Fed. Sts.",FSM,Oceania,3571.3367,1.1083564,,,,10
Gabon,GAB,Africa,8635.7969,-.08597564,31,85.459999,,6
United Kingdom,GBR,Europe,46585.898,.54211748,78,,43.961666,7
