year,month,emae
1993,1,87.3897906
1993,2,85.1416464
1993,3,101.9280409
1993,4,101.8902404
1993,5,103.6749741
1993,6,101.2425209
1993,7,102.4780462
1993,8,102.0036829
1993,9,103.3073789
1993,10,100.7024731
1993,11,105.2465258
1993,12,104.9946799
1994,1,94.95438183
1994,2,91.76322493
1994,3,108.7670711
1994,4,108.5744033
1994,5,110.9881901
1994,6,107.0396982
1994,7,106.2314674
1994,8,107.5156979
1994,9,107.7696718
1994,10,105.6971979
1994,11,110.6465262
1994,12,110.0868788
1995,1,94.68951088
1995,2,96.67405894
1995,3,110.4923586
1995,4,102.2866042
1995,5,108.1905788
1995,6,104.2227084
1995,7,103.7302634
1995,8,102.4527085
1995,9,101.0596478
1995,10,102.1370707
1995,11,105.2280454
1995,12,102.735708
1996,1,93.63570897
1996,2,97.30571498
1996,3,109.136024
1996,4,109.5086999
1996,5,113.4304025
1996,6,107.8174733
1996,7,113.5515589
1996,8,111.2759502
1996,9,107.7240043
1996,10,112.37264
1996,11,113.1776877
1996,12,113.1571875
1997,1,104.5597728
1997,2,104.9760867
1997,3,115.6850163
1997,4,121.5155248
1997,5,120.1610857
1997,6,115.7405576
1997,7,121.1855352
1997,8,117.9252981
1997,9,121.2523194
1997,10,121.7229644
1997,11,120.8261939
1997,12,122.1560729
1998,1,108.2523196
1998,2,109.7011817
1998,3,126.6934082
1998,4,126.7123511
1998,5,128.0891162
1998,6,127.2720087
1998,7,126.5836735
1998,8,122.4200386
1998,9,123.05873
1998,10,120.8097659
1998,11,121.7066384
1998,12,120.6064112
1999,1,104.5591195
1999,2,107.672796
1999,3,123.9444758
1999,4,121.0026747
1999,5,122.1896189
1999,6,120.1137878
1999,7,117.6291268
1999,8,117.6852795
1999,9,117.920472
1999,10,115.7138157
1999,11,120.509976
1999,12,123.4723094
2000,1,103.7691514
2000,2,108.5950485
2000,3,123.217637
2000,4,119.1688664
2000,5,123.1823756
2000,6,119.5123966
2000,7,118.2036013
2000,8,117.5305796
2000,9,115.3383052
2000,10,114.6212421
2000,11,117.250681
2000,12,120.8796486
2001,1,104.2651765
2001,2,105.4217758
2001,3,119.1008907
2001,4,119.033079
2001,5,123.8512866
2001,6,118.3711534
2001,7,114.8630522
2001,8,112.2726442
2001,9,106.6329693
2001,10,105.8825504
2001,11,107.0372352
2001,12,102.7579938
2002,1,87.0742945
2002,2,88.80055328
2002,3,99.19271541
2002,4,102.8863611
2002,5,107.4670346
2002,6,102.0898747
2002,7,102.8369566
2002,8,99.65587987
2002,9,98.66386609
2002,10,99.14366824
2002,11,101.9979231
2002,12,103.7501598
2003,1,91.3
2003,2,93.7
2003,3,105
2003,4,110.1
2003,5,115.3
2003,6,111.3
2003,7,112.6
2003,8,108.5
2003,9,110.6
2003,10,111.7
2003,11,112.9
2003,12,116
2004,1,100.6
2004,2,103.2
2004,3,118.8
2004,4,117.5
2004,5,122.2
2004,6,121
2004,7,120.9
2004,8,119.4
2004,9,120.5
2004,10,119.9
2004,11,125.2
2004,12,127.1
2005,1,108.9
2005,2,111.5
2005,3,127.9
2005,4,130.9
2005,5,136.2
2005,6,131.2
2005,7,130.1
2005,8,132.1
2005,9,131.7
2005,10,131.3
2005,11,137
2005,12,137.6
2006,1,118.4
2006,2,121.6
2006,3,138.9
2006,4,138.9
2006,5,147.7
2006,6,142.5
2006,7,142.2
2006,8,143.3
2006,9,142.9
2006,10,144.1
2006,11,149.1
2006,12,147.7
2007,1,128.6
2007,2,131.2
2007,3,149.1
2007,4,149.9
2007,5,161.1
2007,6,155.1
2007,7,155.1
2007,8,157.1
2007,9,154
2007,10,159
2007,11,162.1
2007,12,160
2008,1,141.6
2008,2,143.8
2008,3,158.5
2008,4,164.6
2008,5,173.6
2008,6,164.5
2008,7,167.6
2008,8,166.5
2008,9,164.5
2008,10,165.8
2008,11,167.8
2008,12,166.9
2009,1,143.8
2009,2,146.8
2009,3,162.3
2009,4,165.5
2009,5,171.4
2009,6,161.8
2009,7,165.1
2009,8,166.5
2009,9,165.3
2009,10,166.7
2009,11,171.9
2009,12,175
2010,1,151.2
2010,2,156.3
2010,3,176.1
2010,4,182.5
2010,5,194.6
2010,6,180.8
2010,7,178.7
2010,8,181.2
2010,9,179.6
2010,10,179
2010,11,189.3
2010,12,192.6
2011,1,167.7
2011,2,172.4
2011,3,191.4
2011,4,198.5
2011,5,212.6
2011,6,197.7
2011,7,194.8
2011,8,199.4
2011,9,195.5
2011,10,195.2
2011,11,203
2011,12,203.5
2012,1,178
2012,2,181.9
2012,3,199.3
2012,4,200.4
2012,5,211.1
2012,6,197.3
2012,7,198.9
2012,8,200.7
2012,9,194.2
2012,10,201
2012,11,206.6
2012,12,205.8
