indice_tiempo,nivel_general
10/1/2005,116.16
11/1/2005,117.45
12/1/2005,117.92
1/1/2006,119.32
2/1/2006,119.55
3/1/2006,120.53
4/1/2006,121.21
5/1/2006,121.62
6/1/2006,122.25
7/1/2006,122.62
8/1/2006,122.86
9/1/2006,123.38
10/1/2006,123.99
11/1/2006,125.28
12/1/2006,127.32
1/1/2007,128.74
2/1/2007,129.59
3/1/2007,130.94
4/1/2007,133.91
5/1/2007,136.7
6/1/2007,140.33
7/1/2007,143.91
8/1/2007,148.69
9/1/2007,151.67
10/1/2007,153.84
11/1/2007,153.22
12/1/2007,154.72
1/1/2008,157.85
2/1/2008,161.38
3/1/2008,167.94
4/1/2008,172.96
5/1/2008,173.39
6/1/2008,177.59
7/1/2008,180.08
8/1/2008,181.55
9/1/2008,183.51
10/1/2008,184.58
11/1/2008,185.76
12/1/2008,186.59
1/1/2009,188.75
2/1/2009,188.73
3/1/2009,193.14
4/1/2009,196.66
5/1/2009,198.36
6/1/2009,199.41
7/1/2009,201.41
8/1/2009,205.15
9/1/2009,208.31
10/1/2009,211.77
11/1/2009,214.2
12/1/2009,221.06
1/1/2010,225.96
2/1/2010,235.8
3/1/2010,242
4/1/2010,245.31
5/1/2010,249.19
6/1/2010,251.9
7/1/2010,255.59
8/1/2010,258.3
9/1/2010,262.4
10/1/2010,270.97
11/1/2010,276.11
12/1/2010,280.81
1/1/2011,283.9
2/1/2011,286.96
3/1/2011,294.59
4/1/2011,302.24
5/1/2011,307.5
6/1/2011,312.13
7/1/2011,317.56
8/1/2011,325.28
9/1/2011,331.52
10/1/2011,335.17
11/1/2011,339.83
12/1/2011,346.17
1/1/2012,350.17
2/1/2012,355.32
3/1/2012,367.36
4/1/2012,374.71
5/1/2012,381.86
6/1/2012,386.96
7/1/2012,396.57
8/1/2012,400.62
9/1/2012,406.92
10/1/2012,413
11/1/2012,420.84
12/1/2012,425.81
1/1/2013,432.91
2/1/2013,443.76
3/1/2013,454.75
4/1/2013,462.18
5/1/2013,471.01
6/1/2013,482.06
7/1/2013,492.97
8/1/2013,502.33
9/1/2013,511.88
10/1/2013,529.01
11/1/2013,544.12
12/1/2013,561.83
1/1/2014,585.34
2/1/2014,627.32
3/1/2014,652.39
4/1/2014,665.85
5/1/2014,682.84
6/1/2014,695.13
7/1/2014,708.81
8/1/2014,726.63
9/1/2014,749.11
10/1/2014,758.51
11/1/2014,769.64
12/1/2014,780.99
1/1/2015,792.74
2/1/2015,808.61
3/1/2015,825.24
4/1/2015,840.29
5/1/2015,856.74
6/1/2015,866.25
7/1/2015,886.21
8/1/2015,903.18
9/1/2015,925.23
10/1/2015,938.03
11/1/2015,964.96
12/1/2015,1027.54
1/1/2016,1070.62
2/1/2016,1099.66
3/1/2016,1132.39
4/1/2016,1170.83
5/1/2016,1219.86
6/1/2016,1237.74
7/1/2016,1265.75
8/1/2016,1273.8
9/1/2016,1295.28
10/1/2016,1321.6
11/1/2016,1339.02
12/1/2016,1350.48
1/1/2017,1366.86
2/1/2017,1390.12
3/1/2017,1433.32
4/1/2017,1467.76
5/1/2017,1492.43
6/1/2017,1507.73
7/1/2017,1530.15
8/1/2017,1552.09
9/1/2017,1580.79
10/1/2017,1606.59
11/1/2017,1630.3
12/1/2017,1678.94
1/1/2018,1703.2
2/1/2018,1745.32
3/1/2018,1794.98
4/1/2018,1839.8545
5/1/2018,1886.48
6/1/2018,1963.53
7/1/2018,2034.03
8/1/2018,2102.36
9/1/2018,2264.68
10/1/2018,2382.64
11/1/2018,2466.45
12/1/2018,2517.89
1/1/2019,2609.62
2/1/2019,2708.13
3/1/2019,2835.66
4/1/2019,2933.41
5/1/2019,3035.33
6/1/2019,3104.39
7/1/2019,3151.61
8/1/2019,3302.07
9/1/2019,3506.25
10/1/2019,3610.36
11/1/2019,3784.74
12/1/2019,3968.36
1/1/2020,4089.1
2/1/2020,4200.69
3/1/2020,4316.58
4/1/2020,4401.06
5/1/2020,4461.56
6/1/2020,4533.16
7/1/2020,4641.94
8/1/2020,4782.91
9/1/2020,4929.68
10/1/2020,5103
11/1/2020,5293.17
12/1/2020,5626.75
1/1/2021,5907.94
2/1/2021,6123.9
3/1/2021,6361.08
4/1/2021,6615
5/1/2021,6834.62
6/1/2021,7065.63
7/1/2021,7245.04
8/1/2021,7433.88
9/1/2021,7648.23
10/1/2021,7865.47
11/1/2021,8110.43
12/1/2021,8480.7
1/1/2022,8808.77
2/1/2022,9327.88
3/1/2022,9962.61
4/1/2022,10472.04
5/1/2022,11054.95
6/1/2022,11531.78
7/1/2022,12323.61
8/1/2022,13207.47
9/1/2022,14057.96
10/1/2022,14826.58
11/1/2022,15585.2
12/1/2022,16324.57
1/1/2023,17243.86
2/1/2023,18772.65
3/1/2023,20072.27
4/1/2023,21489.61
5/1/2023,22820.29
6/1/2023,23896.48
7/1/2023,25316.84
8/1/2023,29093.99
9/1/2023,33432.33
10/1/2023,35930.62
11/1/2023,40491.64
12/1/2023,53118.57
1/1/2024,62715.09
2/1/2024,70851.76
3/1/2024,76971.61
4/1/2024,81868.81
5/1/2024,84852.87
6/1/2024,88123.58
7/1/2024,91508.25
