indice_tiempo,ipc_2016_nivel_general
4/1/2016,85.5254
5/1/2016,89.1118
6/1/2016,91.8528
7/1/2016,93.7328
8/1/2016,93.9221
9/1/2016,95.0014
10/1/2016,97.2428
11/1/2016,98.8166
12/1/2016,100
1/1/2017,101.313
2/1/2017,103.8085
3/1/2017,106.2627
4/1/2017,109.0613
5/1/2017,110.4607
6/1/2017,111.9943
7/1/2017,113.9199
8/1/2017,115.6031
9/1/2017,117.9656
10/1/2017,119.4985
11/1/2017,120.8941
12/1/2017,125.0392
1/1/2018,127.0147
2/1/2018,130.2913
3/1/2018,133.5028
4/1/2018,136.938
5/1/2018,139.58
6/1/2018,145.0582
7/1/2018,149.1178
8/1/2018,155.1747
9/1/2018,165.4903
10/1/2018,173.8549
11/1/2018,178.877
12/1/2018,183.9381
1/1/2019,189.1236
2/1/2019,196.3597
3/1/2019,205.7679
4/1/2019,212.4469
5/1/2019,218.8793
6/1/2019,224.6105
7/1/2019,229.4286
8/1/2019,238.3069
9/1/2019,252.1482
10/1/2019,260.2101
11/1/2019,270.8019
12/1/2019,281.1775
1/1/2020,286.4913
2/1/2020,291.737
3/1/2020,302.2274
4/1/2020,306.4483
5/1/2020,311.0922
6/1/2020,317.4661
7/1/2020,322.6791
8/1/2020,331.6957
9/1/2020,340.902
10/1/2020,353.0444
11/1/2020,363.5381
12/1/2020,377.0507
1/1/2021,389.4454
2/1/2021,403.4854
3/1/2021,424.4539
4/1/2021,441.8955
5/1/2021,456.7856
6/1/2021,470.784
7/1/2021,485.3036
8/1/2021,497.9371
9/1/2021,517.0425
10/1/2021,536.5423
11/1/2021,548.7073
12/1/2021,570.9981
1/1/2022,593.4219
2/1/2022,620.5007
3/1/2022,661.8688
4/1/2022,702.829
5/1/2022,736.3637
6/1/2022,776.6701
7/1/2022,833.8894
8/1/2022,891.851
9/1/2022,945.6836
10/1/2022,1007.6275
11/1/2022,1058.0026
12/1/2022,1114.5359
1/1/2023,1180.967
2/1/2023,1259.9952
3/1/2023,1358.4995
4/1/2023,1475.1378
5/1/2023,1592.4496
6/1/2023,1685.1612
7/1/2023,1789.4275
8/1/2023,2008.8079
9/1/2023,2253.4785
10/1/2023,2447.565
11/1/2023,2763.435
12/1/2023,3456.6426
1/1/2024,4132.479
2/1/2024,4751.2725
3/1/2024,5296.8225
4/1/2024,5785.5699
5/1/2024,6034.3831
6/1/2024,6297.096
7/1/2024,6551.322
8/1/2024,6822.4011
