indice_tiempo,ipc_ng_nacional
12/1/2016,100
1/1/2017,101.5859
2/1/2017,103.6859
3/1/2017,106.1476
4/1/2017,108.9667
5/1/2017,110.5301
6/1/2017,111.8477
7/1/2017,113.7852
8/1/2017,115.3819
9/1/2017,117.5719
10/1/2017,119.3528
11/1/2017,120.994
12/1/2017,124.7956
1/1/2018,126.9887
2/1/2018,130.0606
3/1/2018,133.1054
4/1/2018,136.7512
5/1/2018,139.5893
6/1/2018,144.8053
7/1/2018,149.2966
8/1/2018,155.1034
9/1/2018,165.2383
10/1/2018,174.1473
11/1/2018,179.6388
12/1/2018,184.2552
1/1/2019,189.6101
2/1/2019,196.7501
3/1/2019,205.9571
4/1/2019,213.0517
5/1/2019,219.5691
6/1/2019,225.537
7/1/2019,230.494
8/1/2019,239.6077
9/1/2019,253.7102
10/1/2019,262.0661
11/1/2019,273.2158
12/1/2019,283.4442
1/1/2020,289.8299
2/1/2020,295.666
3/1/2020,305.5515
4/1/2020,310.1243
5/1/2020,314.9087
6/1/2020,321.9738
7/1/2020,328.2014
8/1/2020,337.0632
9/1/2020,346.6207
10/1/2020,359.657
11/1/2020,371.0211
12/1/2020,385.8826
1/1/2021,401.5071
2/1/2021,415.8595
3/1/2021,435.8657
4/1/2021,453.6503
5/1/2021,468.725
6/1/2021,483.6049
7/1/2021,498.0987
8/1/2021,510.3942
9/1/2021,528.4968
10/1/2021,547.0802
11/1/2021,560.9184
12/1/2021,582.4575
1/1/2022,605.0317
2/1/2022,633.4341
3/1/2022,676.0566
4/1/2022,716.9399
5/1/2022,753.147
6/1/2022,793.0278
7/1/2022,851.761
8/1/2022,911.1316
9/1/2022,967.3076
10/1/2022,1028.706
11/1/2022,1079.2787
12/1/2022,1134.5875
1/1/2023,1202.979
2/1/2023,1282.7091
3/1/2023,1381.1601
4/1/2023,1497.2147
5/1/2023,1613.5895
6/1/2023,1709.6115
7/1/2023,1818.0838
8/1/2023,2044.2832
9/1/2023,2304.9242
10/1/2023,2496.273
11/1/2023,2816.0628
12/1/2023,3533.1922
1/1/2024,4261.5324
2/1/2024,4825.7881
3/1/2024,5357.0929
4/1/2024,5830.2271
5/1/2024,6073.7165
6/1/2024,6351.7145
7/1/2024,6607.7479
8/1/2024,6883.4412
