indice_tiempo,nivel_general
1/1/1943,2.05E-12
2/1/1943,2.04E-12
3/1/1943,2.07E-12
4/1/1943,2.08E-12
5/1/1943,2.07E-12
6/1/1943,2.07E-12
7/1/1943,1.95E-12
8/1/1943,1.97E-12
9/1/1943,1.95E-12
10/1/1943,1.97E-12
11/1/1943,1.97E-12
12/1/1943,1.97E-12
1/1/1944,1.98E-12
2/1/1944,1.99E-12
3/1/1944,2.00E-12
4/1/1944,1.98E-12
5/1/1944,1.97E-12
6/1/1944,2.00E-12
7/1/1944,2.00E-12
8/1/1944,2.03E-12
9/1/1944,2.03E-12
10/1/1944,2.04E-12
11/1/1944,2.04E-12
12/1/1944,2.04E-12
1/1/1945,2.20E-12
2/1/1945,2.25E-12
3/1/1945,2.41E-12
4/1/1945,2.42E-12
5/1/1945,2.42E-12
6/1/1945,2.42E-12
7/1/1945,2.45E-12
8/1/1945,2.43E-12
9/1/1945,2.45E-12
10/1/1945,2.45E-12
11/1/1945,2.45E-12
12/1/1945,2.51E-12
1/1/1946,2.68E-12
2/1/1946,2.69E-12
3/1/1946,2.76E-12
4/1/1946,2.81E-12
5/1/1946,2.80E-12
6/1/1946,2.85E-12
7/1/1946,2.86E-12
8/1/1946,2.84E-12
9/1/1946,2.84E-12
10/1/1946,2.91E-12
11/1/1946,2.92E-12
12/1/1946,2.97E-12
1/1/1947,2.95E-12
2/1/1947,2.97E-12
3/1/1947,3.15E-12
4/1/1947,3.15E-12
5/1/1947,3.16E-12
6/1/1947,3.30E-12
7/1/1947,3.27E-12
8/1/1947,3.30E-12
9/1/1947,3.30E-12
10/1/1947,3.28E-12
11/1/1947,3.31E-12
12/1/1947,3.42E-12
1/1/1948,3.36E-12
2/1/1948,3.35E-12
3/1/1948,3.41E-12
4/1/1948,3.43E-12
5/1/1948,3.52E-12
6/1/1948,3.62E-12
7/1/1948,3.61E-12
8/1/1948,3.69E-12
9/1/1948,3.84E-12
10/1/1948,3.85E-12
11/1/1948,3.86E-12
12/1/1948,4.06E-12
1/1/1949,4.09E-12
2/1/1949,4.07E-12
3/1/1949,4.35E-12
4/1/1949,4.56E-12
5/1/1949,4.70E-12
6/1/1949,4.75E-12
7/1/1949,4.84E-12
8/1/1949,4.92E-12
9/1/1949,5.00E-12
10/1/1949,5.14E-12
11/1/1949,5.30E-12
12/1/1949,5.43E-12
1/1/1950,5.33E-12
2/1/1950,5.47E-12
3/1/1950,5.47E-12
4/1/1950,5.59E-12
5/1/1950,5.86E-12
6/1/1950,6.03E-12
7/1/1950,6.03E-12
8/1/1950,6.04E-12
9/1/1950,6.28E-12
10/1/1950,6.52E-12
11/1/1950,6.50E-12
12/1/1950,6.63E-12
1/1/1951,6.57E-12
2/1/1951,6.76E-12
3/1/1951,6.78E-12
4/1/1951,7.39E-12
5/1/1951,7.94E-12
6/1/1951,8.21E-12
7/1/1951,8.27E-12
8/1/1951,9.04E-12
9/1/1951,8.86E-12
10/1/1951,9.13E-12
11/1/1951,9.16E-12
12/1/1951,9.96E-12
1/1/1952,1.03E-11
2/1/1952,1.04E-11
3/1/1952,1.07E-11
4/1/1952,1.14E-11
5/1/1952,1.16E-11
6/1/1952,1.18E-11
7/1/1952,1.13E-11
8/1/1952,1.13E-11
9/1/1952,1.17E-11
10/1/1952,1.18E-11
11/1/1952,1.18E-11
12/1/1952,1.19E-11
1/1/1953,1.17E-11
2/1/1953,1.24E-11
3/1/1953,1.23E-11
4/1/1953,1.18E-11
5/1/1953,1.16E-11
6/1/1953,1.16E-11
7/1/1953,1.17E-11
8/1/1953,1.17E-11
9/1/1953,1.16E-11
10/1/1953,1.16E-11
11/1/1953,1.17E-11
12/1/1953,1.18E-11
1/1/1954,1.15E-11
2/1/1954,1.15E-11
3/1/1954,1.15E-11
4/1/1954,1.18E-11
5/1/1954,1.18E-11
6/1/1954,1.19E-11
7/1/1954,1.22E-11
8/1/1954,1.23E-11
9/1/1954,1.26E-11
10/1/1954,1.30E-11
11/1/1954,1.31E-11
12/1/1954,1.37E-11
1/1/1955,1.34E-11
2/1/1955,1.34E-11
3/1/1955,1.34E-11
4/1/1955,1.36E-11
5/1/1955,1.36E-11
6/1/1955,1.37E-11
7/1/1955,1.38E-11
8/1/1955,1.38E-11
9/1/1955,1.39E-11
10/1/1955,1.39E-11
11/1/1955,1.39E-11
12/1/1955,1.47E-11
1/1/1956,1.45E-11
2/1/1956,1.44E-11
3/1/1956,1.44E-11
4/1/1956,1.49E-11
5/1/1956,1.54E-11
6/1/1956,1.60E-11
7/1/1956,1.59E-11
8/1/1956,1.59E-11
9/1/1956,1.60E-11
10/1/1956,1.62E-11
11/1/1956,1.64E-11
12/1/1956,1.71E-11
1/1/1957,1.69E-11
2/1/1957,1.71E-11
3/1/1957,1.77E-11
4/1/1957,1.82E-11
5/1/1957,1.87E-11
6/1/1957,1.94E-11
7/1/1957,1.97E-11
8/1/1957,2.08E-11
9/1/1957,2.08E-11
